"Company Name","Company Site","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"University College Cork (UCC)",https://www.ucc.ie/,https://www.ucc.ie/en/media/aboutucc/presidentx27soffice/documents/UCCGenderGapReport2023.pdf,2023,14.78,12.04,,,33.68,27.72,10.8,9.57,,,,,61.62,38.38,62.71,37.29,56.4,43.6,44.61,55.39,56.33,43.67
"University College Dublin (UCD)",https://www.ucd.ie/,https://www.ucd.ie/president/t4media/UCD%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,9.36,7.32,,,6.16,5.62,1.97,-1.16,,,0.1,0.29,56.13,43.87,63.49,36.51,58.02,41.98,47.41,52.59,,
"University of Galway",https://www.universityofgalway.ie/,https://www.universityofgalway.ie/media/equality/ovpedi/files/University-of-Galway-GPG-Report-2022-23-Rev-C.pdf,2023,18.4,17.4,,,31.1,3.6,4.5,-1.9,,,,,60,40,68.7,31.3,59,41,44.4,55.6,58.04,41.96
"University of Limerick",https://www.ul.ie/,https://www.ul.ie/media/41756/download?inline=,2023,11.5,11,,,10,2,13,20,,,,,53,47,63,37,53,47,67,54,,
"UPMC Ireland (all entities)",https://upmc.ie/,https://imws.azureedge.net/-/media/project/upmc/ireland/documents/news/2023/gender-pay-gap-2023.pdf?rev=f6b05ab822ba4c91bd4f419100624428&hash=5F559FEFA34235DC245E116DAE48E8BA,2023,19.5,8.3,65,-32,20.4,2.7,15.1,0,2,5,1,2,79,21,69,31,77,23,65,35,72,28
"UPS CSTC",https://www.ups.com/,https://www.ups.com/assets/resources/webcontent/en_GB/IE-gender-pay-gap-report.pdf,2023,14.2,3.8,57.6,9.1,,,-10.2,-10.2,80.4,78.8,17.1,15.1,59.1,40.9,48.9,51.1,56.6,43.4,47.8,52.2,,
"UPS Ireland",https://www.ups.com/,https://www.ups.com/assets/resources/webcontent/en_GB/IE-gender-pay-gap-report.pdf,2023,4.9,5,14.8,11.8,11.1,-4.2,,,79.8,80.4,40.5,25.1,9.2,90.8,29.8,70.2,9.9,90.1,15,85,,
"Utmost International Ireland",https://utmostinternational.com/,https://utmostinternational.com/wp-content/uploads/2023/12/Utmost-International-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,11,4,19,5.5,,,-8,-9,93,87,71,58,49,51,58,42,54,46,43,57,51,49
"Valeo Foods",https://www.valeofoodsgroup.com/,https://valeofoods.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Narrative-2023_final.pdf,2023,2.75,-6.47,34.3,38.28,6.38,-46.23,22.12,22.12,74.1,67.08,8.63,28.31,26.72,73.28,29.31,70.69,31.9,68.1,31.9,68.1,,
Veolia,https://www.veolia.ie/,https://www.veolia.ie/sites/g/files/dvc2576/files/document/2023/12/Veolia%20Ireland%20-%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,17.38,27.15,-16.94,-20.84,23.72,50.44,20.52,18.51,59.46,54.65,89.19,83.87,33.13,66.88,16.87,83.13,11.25,88.75,8.81,91.19,17.4,82.6
"Verizon Connect",https://www.verizonconnect.com/ie/,https://static.verizonconnect.com/verizonconnect/digital/legal/Verizon-Connect-Development-Limited-Gender-Pay-Gap-Report-2023.pdf,2023,22.4,12.5,48.1,16.2,,,,,96.3,97.6,86.3,90.1,37.3,62.7,21.7,78.3,26.5,73.5,10.7,89.3,,
"Version 1",https://www.version1.com/,https://www.version1.com/wp-content/uploads/2023/12/2023-Graphs-Gender-Pay-Gap-Ireland-Only.pdf,2023,8.3,7.6,47,16.6,-15.2,-6.8,18.4,26.7,93,95,69,78,46,54,32.9,66.9,28.5,71.5,27.6,72.4,32.5,67.5
VHI,https://www1.vhi.ie/,https://www.vhi.ie/downloads/vhi-gender-pay-gap-report-2023.pdf,2023,21,20,34,20,51,50,28,0,89,90,96,95,73,27,79,21,73,27,51,49,31,69
"Viatris: McDermott Laboratories",https://www.viatris.ie/,https://www.viatris.ie/-/media/project/common/viatrisie/pdfs/coe14765a_eu_ie_gender-pay-gap-report-2023-2.pdf,2023,11.81,12.74,11.85,-3.69,,,8,11.24,85.96,92.25,86.99,88.14,54.29,45.71,41.14,58.86,37.14,62.86,32.95,67.05,41,59
"Viatris: Mylan Healthcare",https://www.viatris.ie/,https://www.viatris.ie/-/media/project/common/viatrisie/pdfs/coe14765a_eu_ie_gender-pay-gap-report-2023-2.pdf,2023,-3.25,7.98,-17.15,49.56,,,,,81.25,84.62,81.25,76.92,71.43,28.57,57.14,42.86,42.86,57.14,50,50,55.17,44.83
"Viatris: Mylan Teoranta",https://www.viatris.ie/,https://www.viatris.ie/-/media/project/common/viatrisie/pdfs/coe14765a_eu_ie_gender-pay-gap-report-2023-2.pdf,2023,0.36,-13.46,15.63,10.4,,,-11,-29.84,68.28,76.33,68.28,75.74,38.46,61.54,44.87,55.13,58.97,41.03,41.77,58.23,46.18,53.82
"Viatris: Rottapharm Limited",https://www.viatris.ie/,https://www.viatris.ie/-/media/project/common/viatrisie/pdfs/coe14765a_eu_ie_gender-pay-gap-report-2023-2.pdf,2023,12.26,2.11,34.65,-9.7,48,48,18,15.27,84.42,75.7,76.62,75.7,40.66,59.34,46.74,53.26,50,50,29.35,70.65,41.85,58.15
"Viatris: Upjohn Manufacturing",https://www.viatris.ie/,https://www.viatris.ie/-/media/project/common/viatrisie/pdfs/coe14765a_eu_ie_gender-pay-gap-report-2023-2.pdf,2023,15.8,27.79,-38.28,-13.54,,,7,1.72,91.89,95.45,81,96,60.71,39.29,42.86,57.14,8.93,91.07,17.54,82.46,32.46,67.54
"Virgin Media",https://www.virginmedia.ie/,https://www.virginmedia.ie/pdf/Gender-Pay-Gap-Report-VM-Ireland-2023.pdf,2023,20.44,19.58,64.37,36.73,2.67,10.65,,,43.1,29.5,89.1,93.3,57.26,42.74,48.39,51.61,28.63,71.37,35.89,64.11,42.54,57.46
"Vodafone (all legal entities)",https://n.vodafone.ie/en.html,https://n.vodafone.ie/content/dam/gowingmyself/pdfs/Ireland-Vodafone-Gender-Pay-Gap-Report-2023.pdf,2023,5.1,12.6,23.7,16.8,-21.6,-11.3,1.7,-40.2,94,95,95,96,42,58,43,57,37,63,28,72,,
"Walls Construction",https://walls.ie/,https://walls.ie/wp-content/uploads/2023/12/Walls-Construction-Gender-Pay-Gap-Report-2023.pdf,2023,,27,81,,,,,,,,,,,,15.5,84.5,6.2,93.8,,,13.6,86.4
"Waterford and Wexford Education and Training Board",https://www.wwetb.ie/,https://www.wwetb.ie/wp-content/uploads/2024/02/WWETB-Gender-pay-gap-statement-2023-English-Version.docx,2023,3.62,-1.38,,,3.23,-0.67,-1.6,-1.8,,,,,49,51,49,51,50.44,49.56,49.16,50.84,67.54,32.46
"Waterford City & County Council",https://www.waterfordcouncil.ie/,https://waterfordcouncilnews.com/wp-content/uploads/2023/12/Waterford-City-and-County-Council-Gender-Pay-Gap-Report-for-2023_FINAL.pdf,2023,2.09,-4.92,,,-5.43,16.28,-1.48,-12.73,,,0.58,1.46,43.41,56.59,8.49,91.51,45.88,54.12,36.58,63.42,34,66
"Westmeath County Council",https://www.westmeathcoco.ie/,https://www.westmeathcoco.ie/en/media/WCCGenderPayGapReport2023.pdf,2023,-1.61,-10.64,,,-9.81,-2.38,-8.03,-4.93,,,,,31.47,68.53,14.08,85.92,66.9,33.1,38.46,61.54,38,62
"Wexford County Council",https://www.wexfordcoco.ie/,https://www.wexfordcoco.ie/sites/default/files/content/Gender-Pay-Gap-Report-for-2023-Final.pdf,2023,-0.51,-10.04,,,2.38,15.7,24.56,11.93,,,,,51.76,48.24,18.5,81.5,41.96,58.04,46.67,53.33,40,60
"Wicklow County Council",https://www.wicklow.ie/,https://www.wicklow.ie/Portals/0/adam/Documents/Apty24zoL0CGLMD75_woZg/Link/WCC%20-%20Gender%20Pay%20Gap%20Report%20for%202023.pdf,2023,-5.23,-5.77,,,-1.9,18.34,-8.17,-1.22,,,0,1.03,53.27,46.73,16.43,83.57,50.47,49.53,51.87,48.13,43,57
"William Fry (excluding partners)",https://www.williamfry.com/,https://www.williamfry.com/wp-content/uploads/2023/12/WF_Gender_Pay_Gap_Report_2023_24.pdf,2023,-6.6,-6.8,1.3,0,-10.2,-10.5,-20.7,0,89.2,88.3,86,77,59,41,71,29,71,29,67,33,68,32
"Windsor Motor Group",https://www.windsor.ie/,https://web.archive.org/web/20240115224351/https://nd-mediagallery2-public-production.s3.amazonaws.com/2282c91aaa208b95e43a356c01546ccd/windsor_gender_pay_report_2023.pdf,2023,8.15,1.6,28.8,-35.4,-2.5,-35.4,,,78,86,30,30,12,88,25,75,17,83,15,85,17,83
Woodies,https://www.woodies.ie/,https://issuu.com/woodiesdiy/docs/23687_gender_pay_gap_report_2023_v2,2023,4.21,-2.58,-0.21,2.28,-7.31,-2.8,-19.81,-8.12,83.01,76.23,15.75,12.79,48.94,51.06,40.96,59.04,57.45,42.55,46.81,53.19,,
Workday,https://www.workday.com/,https://www.workday.com/en-gb/legal/ireland-gender-pay-gap-report.html,2023,19.9,18,32.3,33.3,,,,,90.8,92.4,96.9,98.4,41,59,33,67,38,72,15,85,,
Workhuman,https://www.workhuman.com/,https://www.workhuman.com/gender-pay-gap-report/dublin-2023/,2023,24,30,28,15,45,55,2,-5,100,100,88,94,65,35,59,41,34,66,31,69,44,49
"WTW (all legal entities)",https://www.wtwco.com/en-ie,https://web.archive.org/web/20240115232446/https://www.wtwco.com/-/media/wtw/notices/ireland-gender-pay-gap-report-2023.pdf?modified=20231219142553,2023,31.1,19.5,55.7,39.6,63.4,67,25.6,0.2,89,91.6,32.7,44.4,56.6,43.4,62,38,48.9,51.1,31.4,68.6,,
"WuXi Biologics",https://www.wuxibiologics.com/,https://www.wuxibiologics.com/wp-content/uploads/WuXi-Biologics-Gender-Pay-Gap-Report.pdf,2023,10.2,14.1,12.89,14.1,,,,,68.89,67.74,77.22,75.27,55.65,44,41.74,58,28,70,29.82,70,40,60
"Xilinx (AMD)",https://www.amd.com/en.html,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/2023-gendergap-report-ireland.pdf,2023,9.9,14.4,18.3,27.6,,,,,93.51,86.62,90.91,83.64,24,76,29,71,20,80,16,84,22,78
Yahoo,https://www.yahoo.com/,https://assets-global.website-files.com/62b4f04befbe455f681f5197/6585ccdfd47c24abd24bd04a_Ireland-Gender-Pay-Report-2023.pdf,2023,20.1,17.6,39,36.3,,,,,96.8,95.3,88.2,90.1,35,65,46,54,28,72,21,79,,
Zara,https://www.zara.com/ie/,https://static.zara.net/static/pdfs/IE/gender-pay-gap-report/gender-pay-gap-report-20230223.pdf,2023,3.8,-0.1,32.3,-1.1,-50.4,-17.1,0.1,0,71,59.2,100,100,78.8,21.2,69.9,30.1,75.9,24.1,77.2,22.8,,
Zendesk,https://www.zendesk.com/,https://web-assets.zendesk.com/pdf/Ireland_GPG_Report.pdf,2023,20.4,16.1,32.6,16.2,,,31.8,9.1,96.2,95.6,95.7,95,49.2,50.8,36.6,63.4,24.6,75.4,24.4,75.6,,
"Zoetis Belgium S.A. (Irish Branch) ",https://www.zoetis.com/,https://www2.zoetis.ie/content/_assets/PDFs/Zoetis-Irish-Branch-Gender-Pay-Gap-Report2023Final.pdf,2023,13.2,9.7,13.1,7.5,,,,,82.1,79.3,93.8,88.8,50,50,33.9,66.1,32.1,67.9,31.8,68.2,,
"Zurich (3 legal entities)",https://www.zurich.ie/,https://web.archive.org/web/20240115232825/https://www.zurich.ie/-/media/project/zurichie/zurichmainsite/sustainability/reports/zurich-ireland-gender-pay-gap-2023.pdf,2023,30,34,52,35,,,,,86,90,97,96,62,38,61,39,48,52,33,67,51,49
